Status	E001	E002	E003	E004	E005	E006	E007	E008	E009	E010	E011	E012	E013	E014	E015	E016	E017	E018	E019	E020	E021	E022	E023	E024	E025	E026	E027	E028	E029	E030	E031	E032	E033	E034	E035	E036	E037	E038	E039	E040	E041	E042	E043	E044	E045	E046	E047	E048	E049	E050	E051	E052	E053	E054	E055	E056	E057	E058	E059	E061	E062	E063	E065	E066	E067	E068	E069	E070	E071	E072	E073	E074	E075	E076	E077	E078	E079	E080	E081	E082	E083	E084	E085	E086	E087	E088	E089	E090	E091	E092	E093	E094	E095	E096	E097	E098	E099	E100	E101	E102	E103	E104	E105	E106	E107	E108	E109	E110	E111	E112	E113	E114	E115	E116	E117	E118	E119	E120	E121	E122	E123	E124	E125	E126	E127	E128	E129
1_TssA	-0.4666	-0.6011	-0.7525	-0.7767	-0.7767	-0.6537	-0.8189	-1.1709	-0.8531	-0.6397	-0.6107	-0.6561	-0.8109	-0.5377	-0.654	-0.6062	-0.855	-0.6994	-0.6302	-0.5759	-0.8613	-0.6694	-0.5026	-0.6203	-0.4292	-0.5146	-0.4202	-0.6514	-0.9934	-1.0479	-0.5054	-0.5425	-0.5493	-0.6491	-0.3268	-0.8172	-0.6355	-0.6466	-0.5553	-0.851	-0.5349	-0.5354	-0.6781	-0.5044	-0.6587	-1.3212	-1.4696	-0.6107	-0.6169	-0.5565	-0.4908	-0.4756	-0.7795	-0.9706	-0.4684	-0.4318	-0.7144	-0.5629	-0.4023	-0.4915	-0.4977	-0.3915	-0.7097	-0.5736	-0.7131	-0.5594	-0.7201	-0.5406	-0.4712	-0.6251	-0.5258	-0.4932	-0.589	-0.62	-0.3668	-0.6979	-0.7023	-1.1623	-0.8918	-0.7654	-0.5187	-0.5802	-0.5592	-0.5165	-0.8307	-0.5695	-0.6886	-0.6017	-0.7186	-0.6493	-0.5422	-0.8391	-0.5913	-0.9847	-0.914	-0.7194	-0.6738	-0.542	-0.6206	-0.4911	-0.7956	-0.6085	-0.6935	-0.5867	-0.7653	-0.7282	-0.6997	-0.5948	-0.7014	-0.4956	-0.6412	-0.5829	-0.7032	-0.5659	-0.7192	-1.0955	-0.745	-0.6374	-0.5229	-0.5831	-0.52	-0.5444	-0.6865	-0.8791	-0.6792	-0.5699	-0.5626
10_TxEnh5'	-0.7825	-0.5102	-0.9539	-0.5351	-0.6714	-0.6059	-0.995	-0.993	-0.4745	-0.9134	-0.8382	-0.9823	-0.5982	-0.743	-0.7319	-0.7216	-0.5623	-0.6102	-0.7551	-0.7649	-0.4465	-0.4335	-0.5553	-0.9876	-0.5463	-0.4265	-0.9777	-0.9286	-0.5572	-0.4301	-0.5735	-0.4441	-0.426	-0.4797	-0.4526	-0.995	-0.632	-0.7545	-0.7621	-0.8078	-0.6555	-0.7259	-0.5215	-0.72	-0.583	-0.6133	-0.7096	-0.7306	-0.6665	-0.4235	-0.7539	-0.6294	-0.8013	-0.7925	-0.755	-0.6825	-0.7188	-0.9721	-0.5976	-0.7167	-0.3395	-0.8402	-0.5829	-0.6747	-0.8957	-0.8823	-1.1643	-0.5869	-1	-0.678	-0.8082	-0.802	-0.5917	-0.6191	-0.6572	-0.6898	-0.6401	-0.7004	-0.8081	-0.7713	-0.7953	-0.6574	-0.5353	-0.4804	-0.6879	-0.6901	-0.8592	-0.7099	-0.6976	-0.5586	-0.3455	-0.6468	-0.8165	-0.5531	-0.8372	-0.7779	-0.612	-0.604	-0.6784	-0.6483	-0.7848	-0.8174	-0.859	-0.8441	-0.8868	-0.7703	-0.4694	-0.5311	-0.6675	-0.7233	-0.7475	-0.7873	-1.1584	-0.7137	-0.8112	-0.6783	-0.8938	-0.6596	-0.5138	-0.6712	-0.6047	-0.6213	-0.5417	-0.6047	-0.9283	-0.5527	-0.5576
11_TxEnh3'	-0.6171	-0.5134	-0.4472	-0.4641	-0.5228	-0.4018	-0.7383	-0.4017	-0.3725	-0.4786	-0.4725	-0.6103	-0.6362	-0.3393	-0.3754	-0.4085	-0.6533	-0.4895	-0.4777	-0.6312	-0.664	-0.6109	-0.6066	-0.3993	-0.43	-0.5618	-0.493	-0.7381	0.2146	-0.2441	0.197	0.15	0.2866	-0.2207	-0.0048	-0.5414	-0.0693	0.1661	0.4105	0.0141	-0.4182	0.3393	-0.2298	0.003	-0.0776	0.2052	0.4301	0.0377	-0.3925	-0.2893	-0.2809	-0.3973	-0.3632	-0.5322	-0.5856	-0.5767	-0.5651	-0.464	-0.697	-0.502	0.1521	-0.5558	-0.512	-0.6359	-0.5488	-0.4698	-0.5876	-0.455	-0.5105	-0.6985	-0.6118	-0.7627	-0.3107	-0.3826	-0.3983	-0.4408	-0.4453	-0.5087	-0.2505	-0.8805	-0.4782	-0.0976	-0.049	-0.2256	-0.2832	-0.3016	-0.3663	-0.205	-0.26	-0.3343	-0.184	-0.3934	-0.706	-0.8313	-0.5075	-0.4138	-0.1938	-0.4323	-0.3814	-0.3204	-0.2874	-0.695	-0.4064	-0.1631	-0.4827	-0.5174	-0.0583	-0.2684	-0.3738	2.2601	-0.2136	-0.1682	0.5365	0.1736	-0.4725	-0.2847	-0.5556	-0.5032	-0.8724	-0.3691	0.065	0.0734	-0.3563	-0.5941	-0.6658	-0.3067	-0.5253
12_TxEnhW	-1.2531	-0.9794	-1.0227	-1.1102	-1.2032	-1.2387	-1.2044	-1.1787	-1.7989	-0.9261	-1.4337	-0.8693	-1.1181	-1.139	-1.0835	-1.2141	-0.7539	-1.0652	-1.292	-1.1382	-1.1071	-1.0783	-0.9585	-1.1272	-0.842	-1.0023	-0.9665	-1.2639	-1.1234	-0.9507	-0.9545	-0.9569	-0.9972	-1.2078	-0.9612	-1.0225	-1.146	-1.2487	-1.0984	-1.0138	-1.0765	-0.8522	-0.9389	-1.1152	-0.7383	-1.081	-1.2936	-1.0002	-1.0614	-1.159	-1.1529	-0.8662	-0.9717	-1.2474	-1.2707	-0.9348	-0.9163	-0.8734	-1.1026	-1.0127	-0.9995	-0.9563	-1.1932	-0.8739	-1.1102	-1.1204	-1.0648	-0.8429	-0.9285	-1.2088	-0.8947	-0.964	-0.9076	-1.077	-0.9409	-1.0674	-1.6175	-1.203	-0.851	-1.012	-1.199	-0.8673	-0.8166	-0.8747	-1.3863	-0.7926	-1.0163	-0.7748	-1.0641	-1.0705	-0.9056	-1.3151	-1.4415	-1.2067	-1.078	-1.1609	-1.1974	-0.888	-0.8745	-1.0638	-1.2801	-1.2911	-0.9156	-0.8623	-1.2323	-0.9422	-1.0471	-0.8543	-0.83	-0.9792	-0.9321	-0.9947	-1.0294	-0.9905	-1.0207	-0.9409	-1.0942	-1.0518	-1.0493	-0.8029	-1.279	-0.996	-0.9427	-0.7815	-1.0241	-1.1079	-1.0319
13_EnhA1	-0.7168	-0.3631	-0.8407	-0.4109	-0.3547	-0.5453	-0.1794	-0.4605	-0.325	-0.5512	-0.6529	-0.2518	-0.6752	-0.6734	-0.6342	-0.6216	-0.5939	-0.8316	-0.6969	-0.6665	-0.5174	-0.5086	-0.6936	-0.3801	-0.6949	-0.9018	-0.5101	-0.6721	-0.4069	-0.3625	0.5895	0.1258	0.177	0.0316	-0.3431	-0.0972	0.0097	0.0124	0.1945	0.0718	0.0825	0.3122	0.1062	0.3542	0.2244	0.0579	-0.087	-0.0205	-0.9459	-0.4751	-0.3838	-0.602	-0.7125	-0.5995	-0.6665	-0.632	-0.5754	-0.8529	-0.274	-0.4389	-0.4116	-0.3524	-0.3376	-0.5045	-0.6076	-0.5752	-0.7248	-0.4705	-0.8053	-0.6868	-0.6846	-0.6263	-0.455	-0.2476	-0.4066	-0.4019	-0.559	-0.3472	-0.5441	-1.0862	-0.6439	-0.5505	-0.4579	-0.3415	-0.5039	-0.4561	-0.7206	-0.4802	-0.0237	-0.4537	0.1905	-0.3926	-0.3687	-0.3746	-0.5263	-0.2956	-0.6767	-0.2792	-0.5635	-0.4005	-0.2581	-0.6628	-0.3997	0.0107	-0.7011	-0.7105	-0.3168	-0.138	-0.4162	0.218	-0.4056	-0.9401	0.0712	0.6484	-0.6893	-0.3883	-0.9021	-0.835	-1.0098	-0.6383	0.0914	-0.3112	-0.6235	-0.664	-0.9532	-0.5104	-0.7255
14_EnhA2	-1.1502	-0.44	-0.7174	-0.7596	-0.7801	-1.0656	-0.9701	-1.093	-0.6824	-0.8259	-0.9536	-0.7635	-0.8218	-1.0332	-1.3603	-1.231	-1.1959	-1.2143	-1.5647	-1.2896	-1.0281	-0.686	-1.2558	-1.0542	-1.4148	-1.1124	-1.4429	-1.6097	-1.1053	-0.7084	-0.6167	-0.5628	-0.3926	-0.575	-0.4487	-0.824	-0.0757	-0.3188	-0.0356	0.142	-0.525	-0.3457	-0.32	-0.3868	-0.0964	-0.6639	-0.4276	-0.1698	-1.4262	-0.7444	-1.293	-1.3495	-1.0841	-0.7867	-0.9251	-0.9801	-1.3708	-1.3768	-0.7219	-0.8128	-0.2732	-0.8794	-0.5544	-1.1074	-1.1898	-1.0045	-1.0171	-0.9472	-1.1646	-1.0338	-0.852	-0.8917	-0.7231	-0.8899	-0.9696	-0.9188	-0.6313	-0.7726	-0.9882	-0.6864	-1.5839	-0.8648	-0.9291	-0.7455	-0.5451	-1.0005	-1.1137	-0.9091	-0.923	-0.6964	-0.686	-0.7287	-0.6203	-0.7186	-0.9667	-0.7709	-0.8543	-0.6904	-0.6779	-0.8425	-0.8063	-1.1389	-0.6484	-0.6816	-1.0895	-0.9589	-0.8492	-1.1278	-0.9527	-0.5138	-0.4363	-1.232	-0.8771	-0.7332	-1.4394	-1.2064	-1.2493	-0.9844	-1.1392	-0.9206	-0.8035	-1.4124	-1.1003	-1.2209	-1.427	-1.041	-1.3849
15_EnhAF	-1.4145	-1.184	-1.2266	-1.1625	-1.1377	-1.3633	-0.9141	-1.3811	-1.6224	-1.2025	-1.0296	-1.1324	-1.0738	-1.3287	-1.6012	-1.5343	-1.3727	-1.4715	-1.7631	-1.2198	-1.3319	-1.0584	-1.2952	-1.3607	-1.4002	-1.4352	-1.2361	-1.8456	-1.4379	-0.8641	-0.9051	-0.4724	0.2042	-0.4899	-0.4195	-1.0367	-0.1158	0.4998	-0.2754	-0.0195	-0.4301	-0.2101	1.1049	-0.0759	0.5732	-0.614	0.0326	-0.1089	-1.6208	-0.8622	-0.7245	-1.4613	-1.0678	-0.8869	-1.1242	-1.1546	-1.8273	-1.5604	-0.9514	-0.9106	-0.0661	-1.2266	-0.8506	-1.6295	-1.3852	-1.2037	-1.4601	-0.7598	-1.2269	-1.1914	-1.2983	-1.3901	-0.9618	-1.1665	-1.2815	-1.0013	-0.9628	-1.0865	-1.2164	-0.944	-0.9082	-1.4031	-1.0816	-0.8383	-0.8199	-0.901	-1.5963	-1.1734	-0.8912	-1.07	-0.416	-0.7202	-1.1165	-1.0114	-0.9228	-0.895	-1.2969	-0.8923	-1.1047	-1.0551	-1.1181	-0.9534	-1.0516	-0.8598	-1.4751	-1.0966	-0.8298	-1.08	-1.036	-0.2856	-0.8794	-1.5277	-0.6241	-0.3543	-1.3493	-1.2199	-1.4989	-1.3986	-1.6981	-1.5715	-0.6143	-0.8034	-1.3945	-1.5977	-1.4778	-1.4818	-1.5686
16_EnhW1	-1.3018	-1.2755	-0.9722	-1.0133	-0.9368	-1.0864	-0.9798	-0.965	-0.7659	-1.2241	-1.3351	-0.8867	-0.9139	-1.4219	-1.0826	-0.9782	-0.9685	-1.0948	-1.3331	-1.2461	-0.8026	-1.216	-1.1414	-1.3335	-0.9504	-1.0183	-1.2953	-1.3952	-0.8006	-1.0359	-1.1724	-0.6309	-1.0755	-0.9294	-1.0505	-1.3181	-0.906	-1.2383	-1.002	-1.0414	-1.2161	-1.1128	-0.8624	-1.0072	-1.3478	-0.7377	-0.9754	-0.9945	-1.0221	-1.3396	-1.3127	-1.5692	-1.1694	-1.0938	-0.9445	-0.8643	-1.5076	-1.0177	-0.8135	-0.9977	-0.8543	-0.8204	-0.7867	-0.9065	-1.139	-1.1888	-1.3009	-1.0275	-0.9502	-1.1806	-1.0283	-1.0229	-0.8987	-0.9328	-0.9115	-1.0265	-1.0639	-0.8067	-1.0049	-1.0227	-0.9597	-0.6277	-0.6844	-0.9206	-1.0588	-1.0126	-1.0219	-0.893	-0.8358	-0.7888	-0.8546	-0.8794	-0.873	-0.9424	-0.9795	-0.6516	-1.4117	-0.8681	-0.8209	-0.96	-1.6069	-1.1954	-0.8404	-0.8002	-0.9726	-0.9712	-0.9691	-1.0715	-1.243	-0.9384	-0.9283	-0.8339	-0.7855	-1.0957	-0.9372	-0.8811	-1.2308	-0.8988	-1.0265	-0.7472	-0.9975	-1.2132	-1.0126	-1.1192	-1.1666	-0.7661	-0.8012
17_EnhW2	-2.1904	-2.5902	-2.3306	-2.5174	-1.5667	-1.8819	-1.8393	-2.314	-1.6132	-1.3584	-2.4356	-1.7779	-1.7631	-2.534	-2.5117	-2.3373	-1.0555	-2.4187	-2.3402	-2.4372	-2.2293	-1.9521	-1.994	-2.3606	-1.5147	-1.971	-1.2116	-2.199	-1.005	-1.2827	-1.1834	-0.6194	-1.2557	-0.6702	-1.6126	-1.936	-1.0102	-1.3389	-1.1532	-1.0866	-1.0333	-0.903	-1.0071	-0.6037	-0.8482	-0.6423	-0.8718	-0.9608	-1.5701	-0.9817	-1.7207	-1.5266	-1.083	-1.4687	-1.4257	-1.5227	-1.851	-1.1415	-1.4838	-0.9764	-0.4564	-1.2304	-1.5851	-1.0484	-1.8191	-1.6355	-1.8011	-1.3847	-1.1578	-2.0542	-1.542	-1.6682	-1.1588	-1.3252	-1.3021	-1.3937	-1.4658	-1.0946	-1.2858	-1.3611	-1.3023	-1.5985	-1.2364	-1.3224	-1.1999	-1.2271	-2.0488	-1.3941	-1.1848	-1.6224	-1.0278	-1.3423	-1.4865	-1.4759	-1.2762	-1.1393	-1.6204	-1.0137	-1.3545	-1.3167	-1.3726	-1.1672	-0.9249	-1.1116	-1.6066	-1.2373	-1.2113	-1.222	-1.4533	-0.9158	-1.0021	-1.1204	-0.7876	-0.8818	-1.1765	-1.0711	-2.1432	-1.43	-1.5372	-1.1626	-0.7984	-1.321	-1.6344	-1.782	-1.851	-1.5183	-1.5039
18_EnhAc	-0.6606	-0.6513	-0.7064	-0.7428	-0.6738	-0.9001	-0.6387	-0.5413	-0.692	-1.0397	-0.6435	-0.641	-1.1844	-0.702	-0.6839	-0.5347	-1.3523	-0.6125	-0.7688	-0.4903	-0.8675	-0.7406	-1.1014	-0.9984	-1.2327	-1.1289	-1.4335	-1.0309	-0.9417	-0.4456	-0.1784	-1.019	0.1069	-0.1968	0.0304	-0.7145	0.2171	-0.2198	-0.3054	-0.1879	0.1203	-0.1016	0.2286	-0.3237	0.59	-0.5852	-0.0411	0.3782	-0.8671	-0.6631	-0.2683	-1.0089	-1.3491	-0.9653	-0.8348	-0.9889	-1.1406	-1.0089	-0.5291	-1.0799	0.0715	-0.7031	-0.7043	-1.3043	-1.3458	-0.6679	-0.7397	-1	-0.7625	-0.9855	-0.6035	-0.57	-0.6585	-0.8211	-0.8466	-0.8363	-0.4666	-0.8878	-1.4509	-1.1751	-0.8272	-0.7573	-0.9467	-0.9518	-1.0677	-1.0569	-0.9678	-0.9592	-1.3672	-0.9257	-0.6452	-0.6765	-0.6701	-0.8419	-0.9387	-0.9063	-0.3792	-0.8497	-0.5696	-0.7126	-0.7879	-0.8411	-0.915	-0.8389	-1.2567	-0.9264	-0.5989	-0.6774	-0.6327	-0.4424	-0.5653	-1.115	-0.9175	-0.5945	-1.2849	-1.1787	-0.8699	-0.9602	-0.749	-1.2351	-0.9337	-0.3527	-0.9769	-0.824	-1.186	-1.0889	-1.0524
19_DNase	-1.9801	-1.6641	-1.6047	-1.5057	-2.0567	-1.6279	-1.7112	-1.6595	-1.7624	-2.1801	-2.1885	-1.638	-2.0179	-1.5129	-1.6354	-1.399	-1.6687	-1.4992	-1.4474	-1.6938	-1.7587	-1.6189	-1.4885	-1.5404	-1.7511	-1.3217	-2.2032	-2.3287	-1.0939	-1.2735	-1.1485	-1.4542	-1.2308	-1.3656	-1.125	-1.7208	-1.4233	-1.5878	-1.8338	-1.3738	-1.6398	-1.3542	-1.5059	-1.185	-1.6838	-1.2259	-1.5601	-1.5453	-1.4952	-1.8946	-1.5966	-1.7378	-2.5241	-2.0783	-1.9849	-1.6229	-1.9937	-2.2746	-2.0742	-1.9932	-2.0823	-1.7523	-1.8142	-1.5565	-1.6506	-1.8003	-1.3101	-2.1371	-1.3474	-1.6264	-1.4837	-1.2948	-1.5501	-1.6591	-1.3522	-1.6929	-1.9296	-1.5283	-1.9514	-2.5958	-2.1037	-1.2134	-1.187	-1.7919	-2.0035	-1.8361	-1.6925	-1.4712	-1.7753	-1.4383	-1.2289	-2.0854	-1.781	-1.6669	-1.9926	-1.6734	-2.2541	-2.147	-1.5174	-1.285	-1.3526	-1.6268	-1.8319	-1.5341	-1.9199	-1.6187	-1.4026	-1.2765	-1.5642	-1.3017	-1.2924	-1.7246	-1.9714	-1.4731	-1.7807	-2.2311	-2.0067	-1.6475	-1.5401	-1.6938	-1.873	-1.4119	-1.6888	-1.506	-2.0537	-1.7289	-1.393
2_PromU	-0.806	-0.7694	-0.8519	-0.7884	-0.7088	-0.7127	-0.687	-0.8114	-0.9947	-0.8739	-0.7278	-0.7459	-0.9775	-1.6231	-0.7099	-0.7344	-0.7012	-0.8002	-1.2278	-0.7626	-0.8059	-0.9138	-0.6667	-0.919	-0.8621	-1.3092	-0.831	-0.7089	-0.6726	-0.7823	-0.7329	-0.7296	-0.6702	-0.7283	-0.4787	-0.5015	-0.7342	-0.4942	-0.5557	-0.5812	-0.7272	-0.6731	-0.7357	-0.9237	-0.5887	-0.5709	-0.645	-0.4586	-0.7182	-0.7984	-0.7132	-0.7031	-0.8213	-0.9155	-0.7806	-0.7065	-0.8355	-0.874	-0.7017	-0.9526	-0.5142	-0.9103	-1.2502	-0.6678	-0.7953	-0.8161	-0.6576	-0.8506	-0.9421	-1.1202	-0.7385	-0.6347	-0.4888	-0.8269	-0.6129	-0.3915	-0.919	-0.7493	-1.0273	-0.7582	-0.4627	-0.5559	-0.745	-0.6713	-0.756	-0.6808	-0.8098	-0.8192	-0.8892	-0.7475	-0.6353	-0.7655	-0.7797	-0.639	-0.7357	-0.6566	-0.6691	-0.6852	-0.5919	-0.4095	-0.5801	-0.6745	-0.9566	-0.4589	-0.6502	-0.8633	-0.5952	-0.6398	-0.6498	-0.5687	-0.2913	-0.7674	-0.8743	-0.5653	-0.6042	-0.7944	-0.7791	-0.6529	-0.5903	-0.8913	-0.626	-1.1111	-0.808	-0.7526	-0.8435	-0.8395	-0.9361
